Track,Artist,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Shazam Counts,Explicit Track
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"3,358,704,125","392,082","123,917,182","2,714,134","178,829,434","1,597,453,878","484,189,798","1,569,935",0
Hands,Dianï¿½,"126,914",8,212,33,188,"6,415","26,630,093",295,0
Believer,Imagine Dragons,"3,006,226,762","335,880","89,243,475","5,745,117","453,132,709","5,876,458,723","276,194,776","21,306,706",0
WAIT FOR U (feat. Drake & Tems),Future,"787,155,930","183,850","58,397,185","931,660","95,662,104","836,550,889","3,934,416,606","3,534,164",1
I KNOW ?,Travis Scott,"532,605,345","128,534","31,725,858","322,900","108,595,670","947,194,801","259,363,238","1,861,958",1
ANDO,Jere Klein,"292,789,738","28,591","30,905,957","1,900,606","68,341,852","872,862,858","1,969,191,415","1,195,337",1
First Class,Jack Harlow,"818,858,244","223,609","49,586,777","1,610,614","624,748,318","6,890,780,336","3,849,170,813","4,244,972",1
FE!N,Travis Scott,"659,010,786","129,923","93,969,186","22,100","13,787,343","107,398,826","244,390,161","1,839,283",1
I Ain't Worried,OneRepublic,"1,607,421,145","212,406","160,444,270","247,865","155,593,087","1,825,552,705","2,563,240,162","9,091,826",0
MI EX TENï¿½ï¿½A RA,KAROL G,"438,796,949","23,959","34,805,394","1,223,804","46,080,266","782,582,119","1,337,889,706","865,444",0
Drained of Color,Exhumed,"158,627",635,"18,765",9,422,"4,484","1,318,392",208,0
Mood (feat. iann dior),24kGoldn,"1,867,736,006","302,486","82,611,625","2,467,227","160,756,733","1,768,836,179","2,069,527,154","10,228,436",1
Dynamite,BTS,"1,872,577,908","144,619","51,186,002","3,098,499","662,794,945","5,063,720,138","2,199,001,119","7,896,781",0
Someone You Loved,Lewis Capaldi,"3,427,498,835","338,763","160,553,919","1,940,473","212,007,614","2,161,032,034","2,333,853,734","29,266,297",0
Acrï¿½ï¿½s,Shakira,"230,849,195","23,091","12,233,221","4,897,595","104,580,759","1,551,501,289","150,614,267","623,446",0
Made You Look,Meghan Trainor,"720,720,922","74,295","89,509,926","4,687,520","1,252,326,407","15,247,253,457","718,932,832","3,086,624",0
vampire,Olivia Rodrigo,"998,964,097","90,793","87,801,398","394,640","152,624,014","1,448,207,880","1,111,017,294","4,872,257",1
Casca de Bala,Thullio Milionï¿½ï¿,"37,157,630","2,052","30,387,641","1,600,000","853,176","8,850,449","149,589,609","42,895",0
People,Libianca,"631,955,547","121,823","45,030,006","3,168,854","243,797,561","3,233,505,931","704,906,130","6,121,126",1
I Don't Wanna Wait,David Guetta,"114,574,238","10,564","180,987,712","299,000","4,419,373","79,796,400","3,117,914",,0
La Bachata,Manuel Turizo,"1,721,045,197","156,941","97,122,096","1,614,275","209,367,923","2,596,777,974","420,585,933","4,817,885",0
ııııııııııııııııııııı,FLI:P,"8,028,757","1,972","488,653","8,800,000","256,186,613","3,985,974,550","6,879,573","220,198",0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"1,612,286,123","282,719","97,390,961","1,404,274","502,778,982","4,702,037,810","2,889,452,237","7,848,760",1
Don't Start Now,Dua Lipa,"2,607,121,959","270,230","143,953,432","4,725,570","414,013,363","3,535,661,993","2,374,637,534","13,421,701",0
Lucid Dreams,Juice WRLD,"2,548,389,305","339,306","75,858,140","1,900,813","44,442,433","338,071,383","274,498,079","9,308,937",1
PROVENZA,KAROL G,"1,185,929,926","103,026","64,847,502","1,300,337","251,445,963","2,829,294,043","763,687,717","3,397,861",0
WAP (feat. Megan Thee Stallion),Cardi B,"1,325,725,696","171,255","53,040,559","8,470,921","1,183,499,351","9,539,547,626","181,452,145","4,618,794",1
SPOT!,ZICO,"77,757,035","3,407","35,428,519","99,900","46,645,177","366,905,484","24,981,456","173,263",0
Seven (feat. Latto) (Explicit Ver.),Jung Kook,"1,673,557,134","54,950","91,343,768","341,522","114,990,786","761,760,624","1,800,517,153","2,310,409",1
Last Night,Morgan Wallen,"922,010,059","107,189","61,174,155","285,414","61,112,010","811,685,466","182,412,108","2,665,347",1
Bad Habits,Ed Sheeran,"1,754,311,538","271,758","62,218,811","1,036,355","225,139,300","2,658,904,267","3,526,952,174","15,886,717",0
QLONA,KAROL G,"850,810,162","56,104","79,334,561","1,167,300","58,820,722","717,259,721","590,681,204","1,537,093",1
Leave The Door Open,Bruno Mars,"1,312,168,384","248,793","50,068,571","1,503,567","369,280,607","3,350,704,343","2,421,128,623","10,288,388",0
good 4 u,Olivia Rodrigo,"2,167,768,056","309,421","72,787,213","1,893,481","1,080,682,523","8,186,754,429","2,285,796,743",,1
bad guy,Billie Eilish,"2,516,804,300","296,739","113,315,017","3,774,645","177,247,662","1,409,756,969","2,066,888,119","18,994,040",0
Seï¿½ï¿½o,Shawn Mendes,"2,738,293,818","251,033","108,433,327","5,815,851","140,938,643","1,859,977,153","2,305,437,038","15,254,141",0
DESPECHï¿,ROSALï¿½,"1,003,487,432","126,402","88,024,543","2,409,247","476,447,290","6,208,638,113","672,233,681","3,205,234",1
ROCKSTAR (feat. Roddy Ricch),DaBaby,"1,638,836,101","272,933","50,425,049","5,241,838","364,560,431","3,869,815,694","201,859,518","7,646,337",1
Eyes Closed,Ed Sheeran,"372,423,476","44,730","21,933,393","1,102,985","38,959,591","830,123,390","961,201,576","2,886,987",0
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"630,373,315","70,400","105,320,547","215,433","70,110,809","586,454,750","207,483,261","1,673,932",0
Circles,Post Malone,"2,481,391,466","332,437","124,491,320","83,111","26,892,604","273,522,601","841,624,305","13,634,519",0
EL AMOR DE SU VIDA,Grupo Frontera,"474,590,289","24,891","25,915,889","136,500","32,754,141","509,287,649","1,484,713,132","1,173,817",0
About Damn Time,Lizzo,"847,025,688","104,052","47,808,065","3,030,761","1,522,267,606","15,665,483,220","22,274,346","5,445,721",1
Closer,The Chainsmokers,"2,880,536,961","285,381","129,399,627","1,103,074","100,536,756","514,053,404","467,800,052","16,185,008",0
FLOWER,JISOO,"440,364,356","26,107","15,314,737","3,411,209","550,993,898","6,724,997,940","68,869,541","1,058,579",0
PERRO NEGRO,Bad Bunny,"689,181,455","61,138","90,492,257","213,300","49,332,435","487,440,417","546,833,520","930,098",1
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,"372,248,119","68,037","44,498,005","77,600","20,713,030","128,182,068","384,403,788","2,131,059",1
Havana (feat. Young Thug),Camila Cabello,"2,072,182,782","194,332","86,159,672","1,314,091","53,911,465","546,650,805","2,137,655,536","16,095,913",0
LUNA,Feid,"606,124,553","40,628","139,802,900","14,519","5,128,004","29,601,244","476,273,095","1,704,574",0
I Like You (A Happier Song) (with Doja Cat),Post Malone,"827,950,825","118,965","64,661,540","172,228","118,133,115","1,359,837,461","3,624,466,116","3,384,275",1
Bones,Imagine Dragons,"1,227,475,431","180,053","70,861,210","341,199","191,133,207","2,255,843,288","3,064,084,870","7,031,981",0
golden hour,JVKE,"1,126,986,320","200,887","45,885,823","461,623","313,934,124","2,305,840,359","2,451,087,344","3,897,680",0
Levitating (feat. DaBaby),Dua Lipa,"2,074,721,986","255,296","109,442,317","858,364","324,510,578","2,649,555,956","4,124,133,645","7,948,325",0
Get It Sexyy,Sexyy Red,"89,362,910","7,377","70,714,216","361,700","71,058,620","476,545,000","126,493,852","514,293",1
"This Wish - From ""Wish""",Ariana DeBose,"26,674,909","2,673","8,562,091","4,304,279","50,776,319","709,276,580","300,010","87,704",0
IDGAF (feat. Yeat),Drake,"406,875,019","85,930","45,178,662","1,225","2,163,852","22,689,637","11,148,894","964,984",1
Ojitos Lindos,Bad Bunny,"1,421,763,497","152,592","62,313,059","179,400","14,518,451","225,142,753","171,156,518","3,087,489",0
Life Is Good (feat. Drake),Future,"1,237,874,594","276,882","51,153,940","584,648","77,631,196","964,755,757","430,690,809","5,329,382",1
Escapism.,RAYE,"804,925,777","128,247","62,532,855","935,169","362,063,344","3,209,982,240","841,611,064","6,548,714",1
Jimmy Cooks (feat. 21 Savage),Drake,"971,473,231","239,671","77,479,207","803,500","85,725,313","926,300,276","327,806,846","3,142,892",1
What You Know Bout Love,Pop Smoke,"1,125,681,368","251,023","32,574,699","5,487,112","345,484,397","2,775,640,343","258,709,304","3,908,069",1
Memories,Maroon 5,"2,011,072,164","222,804","49,920,599","2,377,898","155,233,360","1,458,416,059","2,403,585,054","14,241,952",0
Classy 101,Feid,"872,148,396","90,726","70,485,920","459,540","102,272,836","1,113,541,743","1,850,185,458","1,625,704",1
Whatever She Wants,Bryson Tiller,"207,093,873","23,181","114,051,028","67,400","22,398,663","298,300,000","320,540,886",,1
Vois sur ton chemin - Techno Mix,BENNETT,"361,517,395","119,783","95,312,340","13,334","1,804,060","35,999,853","3,117,914","4,372,188",0
"yes, and?",Ariana Grande,"416,813,996","22,468","101,875,097","77,900","5,912,130","10,072,539","2,382,932,899","1,028,262",1
Without Me,Halsey,"2,042,792,456","198,888","69,311,277","3,897,257","208,270,183","2,216,715,741","2,352,917,415","14,816,076",1
First Person Shooter (feat. J. Cole),Drake,"328,526,298","72,252","68,612,350",859,"267,545","2,571,188","1,488,182,707","1,198,582",1
Shallow,Lady Gaga,"2,447,973,078","221,822","90,174,192","52,698","11,103,476","168,789,459","2,310,840,501","153,863",0
Thunder,Imagine Dragons,"2,384,768,901","244,951","88,329,475","1,839,173","79,131,934","906,537,912","222,980,374","13,844,050",0
Rush,Ayra Starr,"371,886,608","98,009","19,411,516","3,035,139","98,505,939","1,454,848,289","269,311,214","8,870,769",0
abcdefu,GAYLE,"1,128,273,165","193,857","61,311,826","2,167,302","1,127,247,971","12,414,681,151","3,366,280,433","7,565,502",1
Buga,Kizz Daniel,"86,516,910","30,835","3,440,925","10,289,181","119,876,546","1,872,751,535","29,657,775","3,876,226",0
Bad Habit,Steve Lacy,"1,087,938,471","220,515","63,054,597","902,163","360,938,850","2,783,442,788","2,111,662,944","4,118,983",1
MONEY,LISA,"1,189,335,848","103,236","33,637,835","3,707,867","1,292,738,947","12,516,703,531","1,203,702,704","3,720,737",1
Columbia,Quevedo,"721,002,940","84,161","56,226,278","372,100","71,411,756","752,868,970","535,715,103","1,148,958",0
LADY GAGA,Peso Pluma,"684,204,777","48,370","25,130,304","777,100","112,400,175","1,207,597,707","297,822,969","1,567,605",1
Woman,Doja Cat,"1,606,950,381","217,443","95,985,096","2,148,350","795,146,493","5,944,657,895","3,148,985,028","5,907,933",1
CUFF IT,Beyoncï¿,"795,960,535","100,204","68,659,216","2,762,888","945,005,125","11,215,597,325","251,341,543","3,861,203",1
How You Like That,BLACKPINK,"1,033,109,188","82,170","21,177,170","10,007,464","628,046,798","7,988,463,856","328,047,537","3,461,123",0
Milf Song,The Puddleducks,"1,165,982","1,176","23,110","1,865","1,476,436","7,758,599","1,318,392","1,261",0
Nasty,Tinashe,"31,612,906","3,887","106,475,497","535,464","171,691,158","1,051,026,401",480,"336,779",0
Superhero (Heroes & Villains),Metro Boomin,"706,356,280","166,277","62,975,073","32,432","14,181,961","108,461,504","205,280,243","2,363,066",1
Panda,Desiigner,"1,181,348,550","170,002","34,000,497","3,823,774","33,020,704","283,835,852","190,757,316","10,372,624",1
Tattoo,Loreen,"518,846,340","83,033","48,268,736","236,349","68,936,229","718,955,243","800,667,085","7,777,679",0
Kiss Me More (feat. SZA),Doja Cat,"1,823,871,908","262,313","116,916,147","2,074,944","1,053,759,171","8,035,914,098","2,053,577","9,556,378",1
What It Is (Block Boy) (with Kodak Black),Doechii,"102,772,879","29,487","4,775,168","3,308,739","92,626,234","847,338,969","2,863,864","4,072,292",1
Gata Only,FloyyMenor,"4,674,619","1,841","61,398","2,200,000","35,324,159","391,444,977","1,286,981",,0
Illusion,Dua Lipa,"108,501,771","7,430","117,576,704","3,584","4,057","38,200","165,475,383","437,667",1
drivers license,Olivia Rodrigo,"2,184,754,018","250,778","70,173,770","1,365,848","617,386,471","3,781,894,216","642,666,612","11,006,064",1
Used To Be Young,Miley Cyrus,"205,468,104","30,639","39,407,660","67,350","33,519,594","503,074,793","1,819,751,244","1,999,859",0
Players,Coi Leray,"465,588,517","91,658","60,607,887","1,456,347","477,814,190","4,784,803,362","383,354,491","5,620,077",1
rockstar (feat. 21 Savage),Post Malone,"2,960,046,642","352,745","82,442,565","196,242","40,652,322","456,931,528","370,252,952","19,166,675",1
Con Calma,Daddy Yankee,"1,353,028,938","160,122","52,701,166","1,190,870","26,028,684","319,615,777","709,817,334","13,340,067",0
Here With Me,d4vd,"1,042,311,849","154,178","58,833,842","2,321,933","467,461,517","3,656,967,030","313,752,369","3,315,939",0
Favorite Song,Toosii,"186,579,651","45,668","6,252,506","249,537","11,127,302","117,325,107","533,205,544","2,561,322",0
Si No Quieres No,Luis R Conriquez,"158,131,138","5,423","71,590,238","142,300","14,500","147,200","134,369,232","833,928",0
MONTERO (Call Me By Your Name),Lil Nas X,"1,902,241,314","316,054","50,751,390","2,297,386","864,049,980","7,655,286,423","3,417,613","10,553,717",1
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,"406,821,432","20,404","26,073,555","80,218","12,641,848","113,073,762","1,569,274,837","1,551,811",0
